Date;Volume;Open;High;Low;Close;Bid;Ask
01.01.2024;809011.3018739523;5388.897742059576;5452.184222834782;5308.323601363281;5386.626787061331;5385.091034276924;5386.497875981587
01.03.2024;808376.38031807;5388.70715197839;5451.996300266122;5308.102094524895;5386.431781011211;5384.898507342712;5386.3036384046045
02.12.2023;809328.7626518934;5388.993037100169;5452.278184119113;5308.434354782474;5386.724290086391;5385.18729774403;5386.594994770077
06.09.2028;790916.037531306;5383.465924745779;5446.828429627943;5302.010656469276;5381.069114632909;5379.604016651888;5380.962105037597
06.10.2028;790598.5767533649;5383.370629705187;5446.734468343612;5301.899903050083;5380.971611607849;5379.507753184782;5380.864986249106
07.08.2028;791233.4983092472;5383.561219786373;5446.922390912273;5302.121409888469;5381.166617657968;5379.700280118994;5381.059223826088
08.06.2028;791868.4198651295;5383.751809867558;5447.110313480935;5302.342916726855;5381.361623708089;5379.892807053206;5381.25346140307
08.07.2028;791550.9590871884;5383.656514826966;5447.016352196604;5302.232163307662;5381.2641206830285;5379.7965435861;5381.156342614579
09.02.2028;793138.2629768942;5384.13299002993;5447.486158618256;5302.785930403627;5381.751635808329;5380.277860921629;5381.641936557035
09.04.2028;792503.3414210118;5383.942399948744;5447.298236049595;5302.564423565242;5381.556629758209;5380.0853339874175;5381.447698980052
09.05.2028;792185.8806430707;5383.847104908151;5447.204274765265;5302.453670146048;5381.459126733149;5379.9890705203115;5381.350580191561
10.01.2028;793455.7237548353;5384.228285070523;5447.580119902587;5302.896683822821;5381.849138833389;5380.374124388735;5381.739055345525
10.03.2028;792820.802198953;5384.037694989337;5447.392197333926;5302.675176984434;5381.654132783269;5380.181597454523;5381.544817768543
11.11.2027;794090.6453107176;5384.418875151709;5447.768042471248;5303.118190661206;5382.044144883509;5380.566651322947;5381.9332929225075
11.12.2027;793773.1845327765;5384.323580111116;5447.674081186918;5303.007437242013;5381.946641858449;5380.470387855841;5381.836174134017
12.09.2027;794725.5668666;5384.609465232895;5447.955965039909;5303.339697499593;5382.239150933629;5380.759178257159;5382.12753049949
12.10.2027;794408.1060886588;5384.514170192302;5447.862003755578;5303.2289440804;5382.141647908569;5380.662914790053;5382.030411710998
13.08.2027;795043.0276445411;5384.704760273487;5448.049926324239;5303.4504509187855;5382.33665395869;5380.855441724265;5382.22464928798
14.02.2027;796947.7923121881;5385.276530517045;5448.613694030223;5304.114971433944;5382.92167210905;5381.4330225269005;5382.807362018927
14.06.2027;795677.9492004234;5384.895350354674;5448.237848892901;5303.671957757172;5382.531660008809;5381.047968658477;5382.418886864963
14.07.2027;795360.4884224823;5384.80005531408;5448.14388760857;5303.561204337979;5382.434156983749;5380.951705191371;5382.321768076472
15.01.2027;797265.2530901292;5385.371825557638;5448.707655314553;5304.225724853138;5383.01917513411;5381.529285994006;5382.904480807418
15.04.2027;796312.8707563058;5385.085940435859;5448.425771461561;5303.893464595558;5382.726666058929;5381.240495592689;5382.613124441945
15.05.2027;795995.4099783646;5384.990645395266;5448.331810177231;5303.782711176365;5382.629163033869;5381.144232125583;5382.516005653454
16.03.2027;796630.3315342469;5385.1812354764525;5448.519732745892;5304.004218014751;5382.82416908399;5381.3367590597945;5382.7102432304355
16.11.2026;797900.1746460116;5385.562415638824;5448.895577883214;5304.4472316915235;5383.214181184229;5381.721812928217;5383.0987183844
16.12.2026;797582.7138680704;5385.467120598231;5448.801616598884;5304.33647827233;5383.116678159169;5381.625549461112;5383.001599595909
17.09.2026;798535.0962018939;5385.753005720009;5449.083500451875;5304.668738529909;5383.40918723435;5381.914339862429;5383.292955961382
17.10.2026;798217.6354239527;5385.657710679417;5448.9895391675445;5304.557985110717;5383.3116842092895;5381.818076395323;5383.195837172891
18.08.2026;798852.556979835;5385.848300760603;5449.177461736206;5304.7794919491025;5383.50669025941;5382.010603329535;5383.390074749873
19.02.2026;800757.321647482;5386.4200710041605;5449.741229442189;5305.4440124642615;5384.09170840977;5382.588184132171;5383.9727874808195
19.06.2026;799487.4785357174;5386.038890841788;5449.365384304867;5305.000998787489;5383.70169630953;5382.203130263747;5383.584312326855
19.07.2026;799170.0177577762;5385.943595801195;5449.2714230205365;5304.890245368296;5383.60419328447;5382.106866796641;5383.487193538364
20.01.2026;801074.7824254232;5386.515366044753;5449.83519072652;5305.554765883454;5384.18921143483;5382.684447599277;5384.06990626931
20.04.2026;800122.4000915997;5386.229480922974;5449.553306873528;5305.222505625875;5383.89670235965;5382.395657197959;5383.778549903837
20.05.2026;799804.9393136585;5386.134185882382;5449.459345589197;5305.111752206682;5383.7991993345895;5382.299393730853;5383.681431115347
21.03.2026;800439.8608695408;5386.324775963567;5449.647268157858;5305.333259045068;5383.99420538471;5382.491920665065;5383.875668692328
21.11.2025;801709.7039813055;5386.705956125938;5450.02311329518;5305.7762727218405;5384.38421748495;5382.8769745334885;5384.264143846292
21.12.2025;801392.2432033643;5386.610661085346;5449.92915201085;5305.665519302647;5384.28671445989;5382.7807110663825;5384.167025057802
22.09.2025;802344.6255371878;5386.896546207125;5450.211035863842;5305.997779560226;5384.57922353507;5383.0695014677;5384.458381423275
22.10.2025;802027.1647592466;5386.801251166532;5450.117074579511;5305.887026141034;5384.48172051001;5382.973238000594;5384.361262634784
23.08.2025;802662.086315129;5386.991841247717;5450.304997148172;5306.10853297942;5384.67672656013;5383.165764934806;5384.555500211765
24.02.2025;804566.8509827759;5387.563611491275;5450.868764854155;5306.773053494578;5385.26174471049;5383.743345737442;5385.138212942712
24.06.2025;803297.0078710113;5387.1824313289035;5450.492919716833;5306.330039817805;5384.871732610251;5383.358291869018;5384.749737788748
24.07.2025;802979.5470930701;5387.087136288311;5450.398958432503;5306.219286398613;5384.77422958519;5383.262028401912;5384.652619000257
25.01.2025;804884.3117607171;5387.658906531868;5450.962726138486;5306.883806913771;5385.3592477355505;5383.839609204548;5385.235331731203
25.04.2025;803931.9294268936;5387.37302141009;5450.680842285494;5306.551546656192;5385.06673866037;5383.55081880323;5384.94397536573
25.05.2025;803614.4686489524;5387.277726369496;5450.586881001163;5306.440793236999;5384.969235635311;5383.454555336124;5384.846856577239
26.03.2025;804249.3902048348;5387.468316450682;5450.774803569825;5306.662300075385;5385.16424168543;5383.647082270336;5385.041094154221
26.11.2024;805519.2333165994;5387.849496613054;5451.1506487071465;5307.105313752158;5385.554253785671;5384.03213613876;5385.429569308185
26.12.2024;805201.7725386582;5387.754201572461;5451.056687422816;5306.994560332964;5385.456750760611;5383.935872671654;5385.332450519694
27.09.2024;806154.1548724817;5388.04008669424;5451.338571275808;5307.326820590543;5385.74925983579;5384.224663072971;5385.623806885167
27.10.2024;805836.6940945406;5387.9447916536465;5451.244609991477;5307.21606717135;5385.65175681073;5384.1283996058655;5385.5266880966765
28.08.2024;806471.6156504229;5388.135381734833;5451.4325325601385;5307.437574009737;5385.8467628608505;5384.320926540077;5385.720925673659
29.06.2024;807106.5372063052;5388.325971816019;5451.620455128799;5307.659080848122;5386.041768910971;5384.513453474288;5385.91516325064
29.07.2024;806789.076428364;5388.230676775425;5451.526493844469;5307.54832742893;5385.944265885911;5384.417190007183;5385.818044462149
